Incident,ReferenceText,# of tokens,# of types,# of predicates,# of manual predicates,# of automatic predicates,# of frame elements,# of manual frame elements,# of automatic frame elements
http://www.wikidata.org/entity/Q55723938,Greece 'in Solidarity' with Canada Over Toronto Shooting.naf,159,80,29,0,29,0,0,0
http://www.wikidata.org/entity/Q30641305,United States presidential election of 1968.naf,1211,449,232,0,232,0,0,0
http://www.wikidata.org/entity/Q7053913,"March 8th, 2008, Snowfall Totals.naf",43,32,10,0,10,0,0,0
http://www.wikidata.org/entity/Q7053913,"March 7-8, 2008, Snow Event.naf",173,110,36,0,36,0,0,0
http://www.wikidata.org/entity/Q11689148,Ice storm prompts emergency in Oklahoma.naf,807,311,225,0,225,0,0,0
http://www.wikidata.org/entity/Q11689148,Central U.S. cleans up as more storms loom.naf,1048,409,265,0,265,0,0,0
http://www.wikidata.org/entity/Q11689148,"Snow, wind dump on Colorado.naf",550,261,132,0,132,0,0,0
http://www.wikidata.org/entity/Q11689148,"Storms kill, knock out power, cancel flights.naf",720,294,206,0,206,0,0,0
http://www.wikidata.org/entity/Q11689148,Montreal cleans up after big storm.naf,321,168,74,0,74,0,0,0
http://www.wikidata.org/entity/Q11689148,"NWS Springfield, MO Homepage.naf",43,32,10,0,10,0,0,0
http://www.wikidata.org/entity/Q11689148,Winter storm blamed for 51 deaths in nine states.naf,862,364,236,0,236,0,0,0
http://www.wikidata.org/entity/Q11689148,A rare snow day in Arizona.naf,508,228,132,0,132,0,0,0
http://www.wikidata.org/entity/Q11689148,OzarksFirst.com.naf,392,195,86,0,86,0,0,0
http://www.wikidata.org/entity/Q11689148,"Ice storm smacks roads, power lines.naf",885,376,228,0,228,0,0,0
http://www.wikidata.org/entity/Q11689148,Winter storm factor in fatal crash.naf,415,196,66,0,66,0,0,0
http://www.wikidata.org/entity/Q60519471,Presidential Ratings.naf,63,40,2,0,2,0,0,0
http://www.wikidata.org/entity/Q60519471,Wyoming Democratic Caucus moves to only mail-in voting.naf,37,29,9,0,9,0,0,0
http://www.wikidata.org/entity/Q60519471,Find Your Local League.naf,586,271,128,0,128,0,0,0
http://www.wikidata.org/entity/Q60519471,2020 President - Sabato's Crystal Ball.naf,28,23,3,0,3,0,0,0
http://www.wikidata.org/entity/Q60519471,Wyoming Voter Surveys: How Different Groups Voted.naf,64,47,15,0,15,0,0,0
http://www.wikidata.org/entity/Q60519471,"Wyoming: Election Tools, Deadlines, Dates, Rules, and Links.naf",96,49,24,0,24,0,0,0
http://www.wikidata.org/entity/Q60519471,Voting & Elections Toolkits.naf,517,182,103,0,103,0,0,0
http://www.wikidata.org/entity/Q60519471,2020 Election Forecast.naf,61,43,16,0,16,0,0,0
http://www.wikidata.org/entity/Q60519471,2020 Electoral Interactive Map.naf,52,36,12,0,12,0,0,0
http://www.wikidata.org/entity/Q30643932,United States presidential election of 1960.naf,1842,610,386,0,386,0,0,0
http://www.wikidata.org/entity/Q30643932,U. S. Electoral College.naf,1735,181,29,0,29,0,0,0
http://www.wikidata.org/entity/Q6537597,2 brothers accused in Lex St. massacre are held for trial.naf,944,320,205,0,205,0,0,0
http://www.wikidata.org/entity/Q39046296,U. S. Electoral College.naf,1735,181,29,0,29,0,0,0
http://www.wikidata.org/entity/Q39046296,United States presidential election of 1956.naf,921,419,195,0,195,0,0,0
http://www.wikidata.org/entity/Q5598781,Blizzard of ’78 brought chilly attitudes to campus.naf,582,281,141,0,141,0,0,0
http://www.wikidata.org/entity/Q5598781,Statewide Blizzard.naf,267,152,79,0,79,0,0,0
http://www.wikidata.org/entity/Q5598781,"Pressure Records: The October 26-27, 2010 Significant Extratropical Cyclone.naf",1440,379,262,0,262,0,0,0
http://www.wikidata.org/entity/Q5439799,"Snowstorm sends semis spinning, heads east.naf",747,330,182,0,182,0,0,0
http://www.wikidata.org/entity/Q5439799,"Homepage of The National Weather Service Forecast Office in Taunton, MA..naf",43,33,7,0,7,0,0,0
http://www.wikidata.org/entity/Q5439799,"February 13-14, 2007, Winter Storm.naf",454,184,136,0,136,0,0,0
http://www.wikidata.org/entity/Q5439799,New York City and Metro Area Traffic on WABC-TV.naf,721,305,152,0,152,0,0,0
http://www.wikidata.org/entity/Q5439799,"Snow day - February 15th, 2007.naf",913,318,255,0,255,0,0,0
http://www.wikidata.org/entity/Q5439799,Power Crews Work to Get the Electricity On.naf,248,141,72,0,72,0,0,0
http://www.wikidata.org/entity/Q5439799,"Storm ties up travel, closes schools and interferes with Valentine's Day flower deliveries.naf",909,378,231,0,231,0,0,0
http://www.wikidata.org/entity/Q5439799,Tornado heaps misery on Katrina-hit area.naf,913,347,241,0,241,0,0,0
http://www.wikidata.org/entity/Q5439799,Quebec City teen disappears in snowstorm.naf,716,308,176,0,176,0,0,0
http://www.wikidata.org/entity/Q5439799,NOAA's National Weather Service.naf,192,114,26,0,26,0,0,0
http://www.wikidata.org/entity/Q5439799,Purdue's Student Newspaper.naf,121,60,32,0,32,0,0,0
http://www.wikidata.org/entity/Q5439799,Storm Prediction Center 20070212's Storm Reports.naf,1649,634,26,0,26,0,0,0
http://www.wikidata.org/entity/Q5439799,"February 13th-14th, 2007, Snowfall Totals.naf",43,32,10,0,10,0,0,0
http://www.wikidata.org/entity/Q5439799,The Newark Advocate.naf,122,79,33,0,33,0,0,0
http://www.wikidata.org/entity/Q20685047,Johannes Hahn on Twitter.naf,46,35,14,0,14,0,0,0
http://www.wikidata.org/entity/Q20685047,Armenian president sends condolences to Turkey’s Erdoğan over Suruç attack.naf,292,153,61,0,61,0,0,0
http://www.wikidata.org/entity/Q20685047,Suruç attack: Turkey to tighten security along border with Syria.naf,218,131,49,0,49,0,0,0
http://www.wikidata.org/entity/Q20685047,Philip Hammond on Twitter.naf,42,31,11,0,11,0,0,0
http://www.wikidata.org/entity/Q20685047,"Turkey: Dozens dead in blast at Suruc, near Syrian border.naf",207,111,47,0,47,0,0,0
http://www.wikidata.org/entity/Q20685047,Is Turkey Poised to Invade Syria?.naf,1608,493,372,0,372,0,0,0
http://www.wikidata.org/entity/Q20685047,"As Assad lingers, Turkey focuses on ISIS.naf",1264,462,263,0,263,0,0,0
http://www.wikidata.org/entity/Q5598969,Washington and Oregon Residents Fight to Save Homes From Muddy Waters.naf,1206,470,328,0,328,0,0,0
http://www.wikidata.org/entity/Q5598969,Death toll from storm in Oregon and Washington rises to 13.naf,812,310,195,0,195,0,0,0
http://www.wikidata.org/entity/Q5598969,Nation’s Largest Sitka Spruce Dies In Oregon Storm.naf,643,332,125,0,125,0,0,0
http://www.wikidata.org/entity/Q5598969,Northwest reels from deadly back-to-back storms.naf,1075,399,267,0,267,0,0,0
http://www.wikidata.org/entity/Q14626794,Syrian rebels allege new gas attack by government.naf,1002,401,299,0,299,0,0,0
http://www.wikidata.org/entity/Q14626794,Turkey's Military On Alert Over Possible Syria Strike.naf,2067,279,382,0,382,0,0,0
http://www.wikidata.org/entity/Q7570230,Vaughan lowers count of homes deemed unsafe.naf,817,348,211,0,211,0,0,0
http://www.wikidata.org/entity/Q7570230,Medical building on the corner of Wakefield and Ontario Streets..naf,120,69,31,0,31,0,0,0
http://www.wikidata.org/entity/Q7570230,Special Weather Statements.naf,116,77,19,0,19,0,0,0
http://www.wikidata.org/entity/Q7570230,"Federal aid for tornado victims up in the air, Van Loan says.naf",425,193,98,0,98,0,0,0
http://www.wikidata.org/entity/Q7570230,Funnel cloud over Milton from the tornado..naf,120,69,31,0,31,0,0,0
http://www.wikidata.org/entity/Q7570230,Ontario storms kill 1.naf,1023,372,227,0,227,0,0,0
http://www.wikidata.org/entity/Q7570230,"Tornado at Buckshot Lake, Ontario, August 20, 2009.naf",120,69,31,0,31,0,0,0
http://www.wikidata.org/entity/Q7570230,Province approves disaster declarations for communities hit by tornadoes.naf,159,99,43,0,43,0,0,0
http://www.wikidata.org/entity/Q58433554,United States presidential election of 1940.naf,510,265,107,0,107,0,0,0
http://www.wikidata.org/entity/Q39047240,U. S. Electoral College.naf,1735,181,29,0,29,0,0,0
http://www.wikidata.org/entity/Q39047240,United States presidential election of 1952.naf,1179,465,236,0,236,0,0,0
http://www.wikidata.org/entity/Q198851,TERRIFIC HURRICANE.naf,57,39,10,0,10,0,0,0
http://www.wikidata.org/entity/Q198851,NASA.naf,36,26,6,0,6,0,0,0
http://www.wikidata.org/entity/Q5598659,Great Appalachian storm - RyanHanrahan.com.naf,1153,437,225,0,225,0,0,0
http://www.wikidata.org/entity/Q5598659,Extreme weather records in N.J. include 110-degree scorcher.naf,328,157,74,0,74,0,0,0
http://www.wikidata.org/entity/Q5501881,Oscar Temaru elected French Polynesia’s president for fourth time in five years.naf,192,105,43,0,43,0,0,0
http://www.wikidata.org/entity/Q48842073,United States presidential election of 1924.naf,124,87,18,0,18,0,0,0
http://www.wikidata.org/entity/Q39047061,U. S. Electoral College.naf,1735,181,29,0,29,0,0,0
http://www.wikidata.org/entity/Q39047061,United States presidential election of 1956.naf,921,419,195,0,195,0,0,0
http://www.wikidata.org/entity/Q6488019,"Laos president, PM handed new terms: media.naf",257,141,67,0,67,0,0,0
http://www.wikidata.org/entity/Q123069,"Cumbria gunman Derrick Bird 'dumped by Thai lover after sending £1,000'.naf",376,157,84,0,84,0,0,0
http://www.wikidata.org/entity/Q7570228,Canada's top ten weather stories of 2013.naf,765,344,184,0,184,0,0,0
http://www.wikidata.org/entity/Q7570228,Top Ten Weather Stories.naf,566,282,138,0,138,0,0,0
http://www.wikidata.org/entity/Q39046281,U. S. Electoral College.naf,1735,181,29,0,29,0,0,0
http://www.wikidata.org/entity/Q39046281,United States presidential election of 1956.naf,921,419,195,0,195,0,0,0
http://www.wikidata.org/entity/Q434319,The Hells Angels Brought Death To Rock And Roll’s Worst Day.naf,1793,578,448,0,448,0,0,0
http://www.wikidata.org/entity/Q434319,KSAN's Post-Altamont Broadcast.naf,134,94,13,0,13,0,0,0
http://www.wikidata.org/entity/Q434319,What Died at Altamont.naf,1712,557,282,0,282,0,0,0
http://www.wikidata.org/entity/Q434319,Salon.com Arts & Entertainment.naf,1212,471,163,0,163,0,0,0
http://www.wikidata.org/entity/Q434319,American Pie: 6 crazy conspiracy theories.naf,133,77,32,0,32,0,0,0
http://www.wikidata.org/entity/Q434319,Rolling Stones at Altamont.naf,167,96,40,0,40,0,0,0
http://www.wikidata.org/entity/Q63590016,Accused Colorado school shooter identifies as 'devonkillz' on....naf,333,175,85,0,85,0,0,0
http://www.wikidata.org/entity/Q63590016,"1 Student Killed, 8 Injured In Colorado School Shooting.naf",664,272,167,0,167,0,0,0
http://www.wikidata.org/entity/Q1549050,The Storm by Daniel Defoe.naf,35,28,7,0,7,0,0,0
http://www.wikidata.org/entity/Q1549050,A history of great British storms.naf,457,229,113,0,113,0,0,0
http://www.wikidata.org/entity/Q1549050,The Great Storm of 26 November 1703.naf,276,153,74,0,74,0,0,0
http://www.wikidata.org/entity/Q23018273,NBC's Final Battleground Map Shows Clinton With a Significant Lead.naf,1112,407,163,0,163,0,0,0
http://www.wikidata.org/entity/Q23018273,Office of the Clerk of the U.S. House of Representatives.naf,43,32,10,0,10,0,0,0
http://www.wikidata.org/entity/Q30638578,Marine Le Pen announces bid for 2022 French presidential election.naf,220,98,55,0,55,0,0,0
http://www.wikidata.org/entity/Q23137,RootsWeb.com Home Page.naf,113,68,30,0,30,0,0,0
http://www.wikidata.org/entity/Q23137,Weather History: The Saxby Gale.naf,206,118,51,0,51,0,0,0
http://www.wikidata.org/entity/Q17000791,Oxegen 2013: Line-up revealed in full.naf,202,129,17,0,17,0,0,0
http://www.wikidata.org/entity/Q17000791,Europe's Greatest Music Festival.naf,58,42,9,0,9,0,0,0
http://www.wikidata.org/entity/Q39046325,U. S. Electoral College.naf,1735,181,29,0,29,0,0,0
http://www.wikidata.org/entity/Q39046325,United States presidential election of 1956.naf,921,419,195,0,195,0,0,0
http://www.wikidata.org/entity/Q61963712,"Lee County, Alabama.naf",604,189,108,0,108,0,0,0
http://www.wikidata.org/entity/Q61963712,NOAA National Weather Service.naf,75,45,13,0,13,0,0,0
http://www.wikidata.org/entity/Q61963712,"County Road 79 Tornado - March 3, 2019.naf",251,130,50,0,50,0,0,0
http://www.wikidata.org/entity/Q61963712,"Tornadoes of March 3, 2019.naf",267,134,62,0,62,0,0,0
http://www.wikidata.org/entity/Q61963712,"Davisville-Corbett Crossroad Tornado - March 3, 2019.naf",416,178,104,0,104,0,0,0
http://www.wikidata.org/entity/Q1481974,World of Boats at Eyemouth Maritime Centre (Museum) ~ A World Class Boat and Dinghy Collection from all over the World. Visit Us at the Eyemouth Maritime Centre (Museum).naf,708,342,139,0,139,0,0,0
http://www.wikidata.org/entity/Q1481974,the Silver Darlings.naf,635,259,160,0,160,0,0,0
http://www.wikidata.org/entity/Q1481974,Eyemouth Museum.naf,113,73,20,0,20,0,0,0
http://www.wikidata.org/entity/Q39046322,United States presidential election of 1956.naf,921,419,195,0,195,0,0,0
http://www.wikidata.org/entity/Q48845359,The two states that almost always predict which candidate is headed for defeat.naf,500,198,97,0,97,0,0,0
http://www.wikidata.org/entity/Q30643826,United States presidential election of 1960.naf,1842,610,386,0,386,0,0,0
http://www.wikidata.org/entity/Q30643826,U. S. Electoral College.naf,1735,181,29,0,29,0,0,0
http://www.wikidata.org/entity/Q30643826,Results of 1960 Presidential Election Primaries.naf,21,16,2,0,2,0,0,0
http://www.wikidata.org/entity/Q5021103,Blood Spills in Library Hallways.naf,1246,454,296,0,296,0,0,0
http://www.wikidata.org/entity/Q6495330,"Homepage of The National Weather Service Forecast Office in Taunton, MA..naf",43,33,7,0,7,0,0,0
http://www.wikidata.org/entity/Q30643823,United States presidential election of 1960.naf,1842,610,386,0,386,0,0,0
http://www.wikidata.org/entity/Q30643823,U. S. Electoral College.naf,1735,181,29,0,29,0,0,0
http://www.wikidata.org/entity/Q7622106,Strathfield massacre victims remembered.naf,298,155,65,0,65,0,0,0
http://www.wikidata.org/entity/Q5111285,Search the Archive.naf,162,109,25,0,25,0,0,0
http://www.wikidata.org/entity/Q5111285,"Rainstorm Clobbers East Coast; 2 Reported Dead, Electricity Out.naf",43,32,10,0,10,0,0,0
http://www.wikidata.org/entity/Q4601957,NWS Salt Lake City.naf,465,278,30,0,30,0,0,0
